degree  ntl  new
10000  6.195  4.207
12000  8.139  5.243
14000  10.384  6.236
16000  12.666  7.033
18000  18.927  11.909
20000  22.156  12.934
22000  25.395  14.379
24000  29.115  15.712
26000  33.049  17.042
28000  37.245  18.593
30000  41.715  20.176
