degree  ntl  new
10000  658.468  511.812
12000  987.028  705.239
14000  1411.91  931.211
16000  1909.92  1177.84
18000  2762.52  1945.81
20000  3527.35  2331.73
22000  4304.66  2704.29
24000  5627.02  3510.55
26000  6594.27  3862.18
28000  7617.88  4228.3
30000  9288.23  5075.23
